Condition,Strain,Dilution,Raw,CFU/g,Day,tnt.cnt.no.growth,Replicate,v,mode
Midlog,FSL R9-5516,0,6970,1.16E+05,7,cnt,2,50,
Midlog,FSL R9-4077,0,51.1,8.52E+02,7,cnt,2,50,
Midlog,APC,1,47200,7.87E+05,7,cnt,2,50,
Midlog,MacConkey,0,0,0.00E+00,7,cnt,2,50,
Midlog,FSL R9-5515,5,132000000,4.40E+04,Inoculum,cnt,3,50,
Midlog,FSL R9-5258,5,158000000,5.27E+04,Inoculum,cnt,3,50,
Midlog,FSL R9-5517,5,176000000,5.87E+04,Inoculum,cnt,3,50,
Midlog,FSL R9-5271,5,99000000,3.30E+04,Inoculum,cnt,3,50,
Midlog,FSL R9-5516,5,126000000,4.20E+04,Inoculum,cnt,3,50,
Midlog,FSL R9-4077,5,147000000,4.90E+04,Inoculum,cnt,3,50,
Midlog,FSL R9-5515,0,70,1.17E+03,0,cnt,3,50,
Midlog,FSL R9-5258,0,320,5.33E+03,0,cnt,3,50,
Midlog,FSL R9-5517,0,80,1.33E+03,0,cnt,3,50,
Midlog,FSL R9-5271,0,20,3.33E+02,0,cnt,3,50,
Midlog,FSL R9-5516,0,760,1.27E+04,0,cnt,3,50,
Midlog,FSL R9-4077,0,1140,1.90E+04,0,cnt,3,50,
Midlog,APC,0,8090,1.35E+05,0,cnt,3,50,
Midlog,MacConkey,0,0,0.00E+00,0,cnt,3,50,checked
Midlog,FSL R9-5515,0,40,6.67E+02,1,cnt,3,100,
Midlog,FSL R9-5258,0,25,4.17E+02,1,cnt,3,100,
Midlog,FSL R9-5517,0,460,7.67E+03,1,cnt,3,100,
Midlog,FSL R9-5271,0,0,0.00E+00,1,no.growth,3,100,
Midlog,FSL R9-5516,0,110,1.83E+03,1,cnt,3,100,
Midlog,FSL R9-4077,0,5,8.33E+01,1,cnt,3,100,
Midlog,APC,0,1430,2.38E+04,1,cnt,3,100,
Midlog,MacConkey,0,0,0.00E+00,1,cnt,3,100,
Midlog,FSL R9-5515,0,50,8.33E+02,3,cnt,3,50,
Midlog,FSL R9-5258,1,2700,4.50E+04,3,cnt,3,50,
Midlog,FSL R9-5517,0,240,4.00E+03,3,cnt,3,50,
Midlog,FSL R9-5271,0,10,1.67E+02,3,cnt,3,50,
Midlog,FSL R9-5516,0,1340,2.23E+04,3,cnt,3,50,
Midlog,FSL R9-4077,0,140,2.33E+03,3,cnt,3,50,
Midlog,APC,0,690,1.15E+04,3,cnt,3,50,
Midlog,MacConkey,0,0,0.00E+00,3,cnt,3,50,
Midlog,FSL R9-5515,0,30,5.00E+02,4,cnt,3,50,
Midlog,FSL R9-5258,0,2270,3.78E+04,4,cnt,3,50,
Midlog,FSL R9-5517,0,0,0.00E+00,4,no.growth,3,50,
Midlog,FSL R9-5271,0,1260,2.10E+04,4,cnt,3,50,
Midlog,FSL R9-5516,0,70,1.17E+03,4,cnt,3,50,
Midlog,FSL R9-4077,0,0,0.00E+00,4,no.growth,3,50,
Midlog,APC,0,160,2.67E+03,4,cnt,3,50,
Midlog,MacConkey,0,0,0.00E+00,4,cnt,3,50,
Midlog,FSL R9-5515,0,90,1.50E+03,7,cnt,3,50,
Midlog,FSL R9-5258,0,140,2.33E+03,7,cnt,3,50,
Midlog,FSL R9-5517,0,340,5.67E+03,7,cnt,3,50,
Midlog,FSL R9-5271,0,0,0.00E+00,7,no.growth,3,50,
Midlog,FSL R9-5516,0,2030,3.38E+04,7,cnt,3,50,
Midlog,FSL R9-4077,0,20,3.33E+02,7,cnt,3,50,
Midlog,APC,0,3760,6.27E+04,7,cnt,3,50,
Midlog,MacConkey,0,0,0.00E+00,7,cnt,3,50,
NaCl,FSL R9-5515,5,5.52E+08,1.84E+05,Inoculum,cnt,1,50,
NaCl,FSL R9-5258,5,5.21E+08,1.74E+05,Inoculum,cnt,1,50,
NaCl,FSL R9-5517,5,5.75E+08,1.92E+05,Inoculum,cnt,1,50,
NaCl,FSL R9-5271,5,6.98E+08,2.33E+05,Inoculum,cnt,1,50,
NaCl,FSL R9-5516,5,4.70E+08,1.57E+05,Inoculum,cnt,1,50,
NaCl,FSL R9-4077,5,5.64E+08,1.88E+05,Inoculum,cnt,1,50,
NaCl,FSL R9-5515,0,3330,5.55E+04,0,cnt,1,50,
NaCl,FSL R9-5258,0,1520,2.53E+04,0,cnt,1,50,
NaCl,FSL R9-5517,0,1950,3.25E+04,0,cnt,1,50,
NaCl,FSL R9-5271,0,6790,1.13E+05,0,cnt,1,50,
NaCl,FSL R9-5516,0,4410,7.35E+04,0,cnt,1,50,
NaCl,FSL R9-4077,0,2030,3.38E+04,0,cnt,1,50,
NaCl,APC,0,450,7.50E+03,0,cnt,1,50,
NaCl,MacConkey,0,0,0.00E+00,0,cnt,1,50,
NaCl,FSL R9-5515,0,1160,1.93E+04,1,cnt,1,50,
NaCl,FSL R9-5258,0,593,9.88E+03,1,cnt,1,50,
NaCl,FSL R9-5517,0,6410,1.07E+05,1,cnt,1,50,
NaCl,FSL R9-5271,0,6720,1.12E+05,1,cnt,1,50,
NaCl,FSL R9-5516,0,12500,2.08E+05,1,cnt,1,50,
NaCl,FSL R9-4077,0,9740,1.62E+05,1,cnt,1,50,
NaCl,APC,0,532,8.87E+03,1,cnt,1,50,
NaCl,MacConkey,0,0,0.00E+00,1,cnt,1,50,
NaCl,FSL R9-5515,0,6510,1.09E+05,3,cnt,1,50,
NaCl,FSL R9-5258,0,7310,1.22E+05,3,cnt,1,50,
NaCl,FSL R9-5517,1,6700,1.12E+05,3,cnt,1,50,
NaCl,FSL R9-5271,1,7900,1.32E+05,3,cnt,1,50,
NaCl,FSL R9-5516,1,10400,1.73E+05,3,cnt,1,50,
NaCl,FSL R9-4077,1,6900,1.15E+05,3,cnt,1,50,
NaCl,APC,0,4600,7.67E+04,3,cnt,1,50,
NaCl,MacConkey,0,0,0.00E+00,3,cnt,1,50,
NaCl,FSL R9-5515,0,6890,1.15E+05,4,cnt,1,50,
NaCl,FSL R9-5258,1,23200,3.87E+05,4,cnt,1,50,
NaCl,FSL R9-5517,0,1300,2.17E+04,4,cnt,1,50,
NaCl,FSL R9-5271,1,18800,3.13E+05,4,cnt,1,50,
NaCl,FSL R9-5516,1,12400,2.07E+05,4,cnt,1,50,
NaCl,FSL R9-4077,1,22400,3.73E+05,4,cnt,1,50,
NaCl,APC,1,32200,5.37E+05,4,cnt,1,50,
NaCl,MacConkey,0,0,0.00E+00,4,cnt,1,50,
NaCl,FSL R9-5515,0,2680,4.47E+04,7,cnt,1,50,
NaCl,FSL R9-5258,0,2330,3.88E+04,7,cnt,1,50,
NaCl,FSL R9-5517,0,12200,2.03E+05,7,cnt,1,50,
NaCl,FSL R9-5271,0,4000,6.67E+04,7,cnt,1,50,
NaCl,FSL R9-5516,0,12900,2.15E+05,7,cnt,1,50,
NaCl,FSL R9-4077,0,6120,1.02E+05,7,cnt,1,50,
NaCl,APC,0,3500,5.83E+04,7,cnt,1,50,
NaCl,MacConkey,0,0,0.00E+00,7,cnt,1,50,
NaCl,FSL R9-5515,6,650000000,2.17E+05,Inoculum,cnt,2,50,
NaCl,FSL R9-5258,6,660000000,2.20E+05,Inoculum,cnt,2,50,
NaCl,FSL R9-5517,6,760000000,2.53E+05,Inoculum,cnt,2,50,
NaCl,FSL R9-5271,5,0,0.00E+00,Inoculum,no.growth,2,50,
NaCl,FSL R9-5516,6,560000000,1.87E+05,Inoculum,cnt,2,50,
NaCl,FSL R9-4077,6,680000000,2.27E+05,Inoculum,cnt,2,50,
NaCl,FSL R9-5515,0,480,8.00E+03,0,cnt,2,50,
NaCl,FSL R9-5258,0,4360,7.27E+04,0,cnt,2,50,
NaCl,FSL R9-5517,0,1060,1.77E+04,0,cnt,2,50,
NaCl,FSL R9-5271,0,940,1.57E+04,0,cnt,2,50,
NaCl,FSL R9-5516,0,4630,7.72E+04,0,cnt,2,50,
NaCl,FSL R9-4077,1,6300,1.05E+05,0,cnt,2,50,
NaCl,APC,0,950,1.58E+04,0,cnt,2,50,
NaCl,MacConkey,0,0,0.00E+00,0,cnt,2,50,
NaCl,FSL R9-5515,0,2400,4.00E+04,1,cnt,2,50,
NaCl,FSL R9-5258,1,3500,5.83E+04,1,cnt,2,50,
NaCl,FSL R9-5517,1,14500,2.42E+05,1,cnt,2,50,
NaCl,FSL R9-5271,1,16300,2.72E+05,1,cnt,2,50,
NaCl,FSL R9-5516,1,4300,7.17E+04,1,cnt,2,50,
NaCl,FSL R9-4077,1,7600,1.27E+05,1,cnt,2,50,
NaCl,APC,1,15200,2.53E+05,1,cnt,2,50,
NaCl,MacConkey,0,0,0.00E+00,1,cnt,2,50,
NaCl,FSL R9-5515,0,930,1.55E+04,3,cnt,2,50,
NaCl,FSL R9-5258,0,2950,4.92E+04,3,cnt,2,50,
NaCl,FSL R9-5517,1,7400,1.23E+05,3,cnt,2,50,
NaCl,FSL R9-5271,1,5500,9.17E+04,3,cnt,2,50,
NaCl,FSL R9-5516,1,16400,2.73E+05,3,cnt,2,50,
NaCl,FSL R9-4077,0,2290,3.82E+04,3,cnt,2,50,
NaCl,APC,1,10600,1.77E+05,3,cnt,2,50,
NaCl,MacConkey,0,0,0.00E+00,3,cnt,2,50,
NaCl,FSL R9-5515,0,1170,1.95E+04,4,cnt,2,50,
NaCl,FSL R9-5258,1,5900,9.83E+04,4,cnt,2,50,
NaCl,FSL R9-5517,0,2900,4.83E+04,4,cnt,2,50,
NaCl,FSL R9-5271,0,3850,6.42E+04,4,cnt,2,50,
NaCl,FSL R9-5516,1,8300,1.38E+05,4,cnt,2,50,
NaCl,FSL R9-4077,1,4100,6.83E+04,4,cnt,2,50,
NaCl,APC,1,29600,4.93E+05,4,cnt,2,50,
NaCl,MacConkey,0,0,0.00E+00,4,cnt,2,50,
NaCl,FSL R9-5515,0,2100,3.50E+04,7,cnt,2,50,
NaCl,FSL R9-5258,0,1780,2.97E+04,7,cnt,2,50,
NaCl,FSL R9-5517,0,1120,1.87E+04,7,cnt,2,50,
NaCl,FSL R9-5271,1,5400,9.00E+04,7,cnt,2,50,
NaCl,FSL R9-5516,0,1710,2.85E+04,7,cnt,2,50,
NaCl,FSL R9-4077,0,3230,5.38E+04,7,cnt,2,50,
NaCl,APC,1,25500,4.25E+05,7,cnt,2,50,
NaCl,MacConkey,0,0,0.00E+00,7,cnt,2,50,
NaCl,FSL R9-5515,6,400000000,1.33E+04,Inoculum,cnt,3,100,1mL
NaCl,FSL R9-5258,6,335000000,1.12E+04,Inoculum,cnt,3,100,1mL
NaCl,FSL R9-5517,6,280000000,9.33E+03,Inoculum,cnt,3,100,1mL
NaCl,FSL R9-5271,6,365000000,1.22E+04,Inoculum,cnt,3,100,1mL
NaCl,FSL R9-5516,6,5800000000,1.93E+05,Inoculum,cnt,3,100,1mL
NaCl,FSL R9-4077,5,0,0.00E+00,Inoculum,no.growth,3,100,1mL
NaCl,FSL R9-5515,0,1410,2.35E+03,0,cnt,3,100,1mL
NaCl,FSL R9-5258,0,2170,3.62E+03,0,cnt,3,100,1mL
NaCl,FSL R9-5517,1,2950,4.92E+03,0,cnt,3,100,1mL
NaCl,FSL R9-5271,1,4200,7.00E+03,0,cnt,3,100,1mL
NaCl,FSL R9-5516,1,3000,5.00E+03,0,cnt,3,100,1mL
NaCl,FSL R9-4077,0,1550,2.58E+03,0,cnt,3,100,1mL
NaCl,APC,0,6.5,1.08E+02,0,cnt,3,100,
NaCl,MacConkey,0,0,0.00E+00,0,cnt,3,100,
NaCl,FSL R9-5515,1,100,1.67E+02,1,cnt,3,100,1mL
NaCl,FSL R9-5258,1,2200,3.67E+03,1,cnt,3,100,1mL
NaCl,FSL R9-5517,1,1800,3.00E+03,1,cnt,3,100,1mL
NaCl,FSL R9-5271,1,1750,2.92E+03,1,cnt,3,100,1mL
NaCl,FSL R9-5516,1,1750,2.92E+03,1,cnt,3,100,1mL
NaCl,FSL R9-4077,1,4100,6.83E+03,1,cnt,3,100,1mL
NaCl,APC,1,265,4.42E+03,1,cnt,3,100,
NaCl,MacConkey,0,0,0.00E+00,1,cnt,3,100,
NaCl,FSL R9-5515,0,1500,2.50E+04,3,cnt,3,50,
NaCl,FSL R9-5258,0,11400,1.90E+05,3,cnt,3,50,
NaCl,FSL R9-5517,0,8480,1.41E+05,3,cnt,3,50,
NaCl,FSL R9-5271,0,11400,1.90E+05,3,cnt,3,50,
NaCl,FSL R9-5516,0,1030,1.72E+04,3,cnt,3,50,
NaCl,FSL R9-4077,0,4360,7.27E+04,3,cnt,3,50,
NaCl,APC,1,25800,4.30E+05,3,cnt,3,50,
NaCl,MacConkey,0,0,0.00E+00,3,cnt,3,50,
NaCl,FSL R9-5515,0,280,4.67E+03,4,cnt,3,50,
NaCl,FSL R9-5258,0,7790,1.30E+05,4,cnt,3,50,
NaCl,FSL R9-5517,0,11600,1.93E+05,4,cnt,3,50,
NaCl,FSL R9-5271,0,2560,4.27E+04,4,cnt,3,50,
NaCl,FSL R9-5516,0,3780,6.30E+04,4,cnt,3,50,
NaCl,FSL R9-4077,0,11400,1.90E+05,4,cnt,3,50,
NaCl,APC,1,23200,3.87E+05,4,cnt,3,50,
NaCl,MacConkey,0,0,0.00E+00,4,cnt,3,50,checked
NaCl,FSL R9-5515,0,650,1.08E+04,7,cnt,3,50,
NaCl,FSL R9-5258,1,2700,4.50E+04,7,cnt,3,50,
NaCl,FSL R9-5517,1,4000,6.67E+04,7,cnt,3,50,
NaCl,FSL R9-5271,1,12800,2.13E+05,7,cnt,3,50,
NaCl,FSL R9-5516,1,5800,9.67E+04,7,cnt,3,50,
NaCl,FSL R9-4077,1,3600,6.00E+04,7,cnt,3,50,
NaCl,APC,1,39500,6.58E+05,7,cnt,3,50,
NaCl,MacConkey,0,0,0.00E+00,7,cnt,3,50,
pH5,FSL R9-5515,5,105000000,3.50E+04,Inoculum,cnt,1,50,
pH5,FSL R9-5258,5,146000000,4.87E+04,Inoculum,cnt,1,50,
pH5,FSL R9-5517,5,368000000,1.23E+05,Inoculum,cnt,1,50,
pH5,FSL R9-5271,5,337000000,1.12E+05,Inoculum,cnt,1,50,
pH5,FSL R9-5516,5,300000000,1.00E+05,Inoculum,cnt,1,50,
pH5,FSL R9-4077,5,360000000,1.20E+05,Inoculum,cnt,1,50,
pH5,FSL R9-5515,0,510,8.50E+03,0,cnt,1,50,
pH5,FSL R9-5258,0,1940,3.23E+04,0,cnt,1,50,
pH5,FSL R9-5517,0,3250,5.42E+04,0,cnt,1,50,
pH5,FSL R9-5271,0,3910,6.52E+04,0,cnt,1,50,
pH5,FSL R9-5516,0,4200,7.00E+04,0,cnt,1,50,
pH5,FSL R9-4077,0,1860,3.10E+04,0,cnt,1,50,
pH5,APC,0,90,1.50E+03,0,cnt,1,50,
pH5,MacConkey,0,0,0.00E+00,0,cnt,1,50,
pH5,FSL R9-5515,0,270,4.50E+03,1,cnt,1,50,
pH5,FSL R9-5258,0,1280,2.13E+04,1,cnt,1,50,
pH5,FSL R9-5517,0,1240,2.07E+04,1,cnt,1,50,
pH5,FSL R9-5271,0,2560,4.27E+04,1,cnt,1,50,
pH5,FSL R9-5516,0,266,4.43E+03,1,cnt,1,50,
pH5,FSL R9-4077,0,1640,2.73E+04,1,cnt,1,50,
pH5,APC,0,1020,1.70E+04,1,cnt,1,50,
pH5,MacConkey,0,0,0.00E+00,1,cnt,1,50,checked
pH5,FSL R9-5515,0,830,1.38E+04,3,cnt,1,100,
pH5,FSL R9-5258,0,660,1.10E+04,3,cnt,1,50,
pH5,FSL R9-5517,1,9400,1.57E+05,3,cnt,1,50,
pH5,FSL R9-5271,1,5500,9.17E+04,3,cnt,1,50,
pH5,FSL R9-5516,1,6400,1.07E+05,3,cnt,1,50,
pH5,FSL R9-4077,0,3340,5.57E+04,3,cnt,1,50,
pH5,APC,0,7300,1.22E+05,3,cnt,1,50,
pH5,MacConkey,0,0,0.00E+00,3,cnt,1,50,
pH5,FSL R9-5515,1,8000,1.33E+05,4,cnt,1,100,
pH5,FSL R9-5258,1,4400,7.33E+04,4,cnt,1,50,
pH5,FSL R9-5517,0,949,1.58E+04,4,cnt,1,50,
pH5,FSL R9-5271,0,1170,1.95E+04,4,cnt,1,50,
pH5,FSL R9-5516,0,3540,5.90E+04,4,cnt,1,50,
pH5,FSL R9-4077,0,310,5.17E+03,4,cnt,1,50,
pH5,APC,1,129000,2.15E+06,4,cnt,1,50,
pH5,MacConkey,0,0,0.00E+00,4,cnt,1,50,
pH5,FSL R9-5515,1,6500,1.08E+05,7,cnt,1,100,
pH5,FSL R9-5258,0,2500,4.17E+04,7,cnt,1,50,
pH5,FSL R9-5517,0,980,1.63E+04,7,cnt,1,50,
pH5,FSL R9-5271,0,890,1.48E+04,7,cnt,1,50,
pH5,FSL R9-5516,1,4200,7.00E+04,7,cnt,1,50,
pH5,FSL R9-4077,0,70,1.17E+03,7,cnt,1,50,
pH5,APC,1,58900,9.82E+05,7,cnt,1,50,
pH5,MacConkey,0,0,0.00E+00,7,cnt,1,50,
pH5,FSL R9-5515,5,81000000,2.70E+04,Inoculum,cnt,2,50,
pH5,FSL R9-5258,5,242000000,8.07E+04,Inoculum,cnt,2,50,
pH5,FSL R9-5517,5,314000000,1.05E+05,Inoculum,cnt,2,50,
pH5,FSL R9-5271,5,286000000,9.53E+04,Inoculum,cnt,2,50,
pH5,FSL R9-5516,5,195000000,6.50E+04,Inoculum,cnt,2,50,
pH5,FSL R9-4077,5,270000000,9.00E+04,Inoculum,cnt,2,50,
pH5,FSL R9-5515,0,140,2.33E+03,0,cnt,2,50,
pH5,FSL R9-5258,0,3920,6.53E+04,0,cnt,2,50,
pH5,FSL R9-5517,0,2350,3.92E+04,0,cnt,2,50,
pH5,FSL R9-5271,0,3060,5.10E+04,0,cnt,2,50,
pH5,FSL R9-5516,0,2990,4.98E+04,0,cnt,2,50,
pH5,FSL R9-4077,0,2180,3.63E+04,0,cnt,2,50,
pH5,APC,0,1980,3.30E+04,0,cnt,2,50,
pH5,MacConkey,0,0,0.00E+00,0,cnt,2,50,
pH5,FSL R9-5515,0,95,1.58E+03,1,cnt,2,50,
pH5,FSL R9-5258,0,830,1.38E+04,1,cnt,2,50,
pH5,FSL R9-5517,0,590,9.83E+03,1,cnt,2,50,
pH5,FSL R9-5271,0,640,1.07E+04,1,cnt,2,50,
pH5,FSL R9-5516,0,3520,5.87E+04,1,cnt,2,50,
pH5,FSL R9-4077,0,1390,2.32E+04,1,cnt,2,50,
pH5,APC,1,58800,9.80E+05,1,cnt,2,50,
pH5,MacConkey,0,0,0.00E+00,1,cnt,2,50,
pH5,FSL R9-5515,0,40,6.67E+02,3,cnt,2,50,
pH5,FSL R9-5258,0,920,1.53E+04,3,cnt,2,50,
pH5,FSL R9-5517,0,590,9.83E+03,3,cnt,2,50,
pH5,FSL R9-5271,0,150,2.50E+03,3,cnt,2,50,
pH5,FSL R9-5516,1,3700,6.17E+04,3,cnt,2,50,
pH5,FSL R9-4077,0,420,7.00E+03,3,cnt,2,50,
pH5,APC,1,514000,8.57E+06,3,cnt,2,50,
pH5,MacConkey,0,0,0.00E+00,3,cnt,2,50,
pH5,FSL R9-5515,0,310,5.17E+03,4,cnt,2,50,
pH5,FSL R9-5258,0,750,1.25E+04,4,cnt,2,50,
pH5,FSL R9-5517,0,420,7.00E+03,4,cnt,2,50,
pH5,FSL R9-5271,1,2200,3.67E+04,4,cnt,2,50,
pH5,FSL R9-5516,1,1300,2.17E+04,4,cnt,2,50,
pH5,FSL R9-4077,0,1580,2.63E+04,4,cnt,2,50,
pH5,APC,2,270000,4.50E+06,4,cnt,2,50,
pH5,MacConkey,0,0,0.00E+00,4,cnt,2,50,
pH5,FSL R9-5515,0,730,1.22E+04,7,cnt,2,50,
pH5,FSL R9-5258,0,3490,5.82E+04,7,cnt,2,50,
pH5,FSL R9-5517,0,30,5.00E+02,7,cnt,2,50,
pH5,FSL R9-5271,0,5090,8.48E+04,7,cnt,2,50,
pH5,FSL R9-5516,0,5380,8.97E+04,7,cnt,2,50,
pH5,FSL R9-4077,0,210,3.50E+03,7,cnt,2,50,
pH5,APC,2,309000,5.15E+06,7,cnt,2,50,checked
pH5,MacConkey,0,0,0.00E+00,7,cnt,2,50,
pH5,FSL R9-5515,5,71000000,2.37E+04,Inoculum,cnt,3,50,
pH5,FSL R9-5258,5,267000000,8.90E+04,Inoculum,cnt,3,50,
pH5,FSL R9-5517,5,321000000,1.07E+05,Inoculum,cnt,3,50,
pH5,FSL R9-5271,5,275000000,9.17E+04,Inoculum,cnt,3,50,
pH5,FSL R9-5516,5,161000000,5.37E+04,Inoculum,cnt,3,50,
pH5,FSL R9-4077,5,207000000,6.90E+04,Inoculum,cnt,3,50,
pH5,FSL R9-5515,0,780,1.30E+04,0,cnt,3,50,
pH5,FSL R9-5258,0,3130,5.22E+04,0,cnt,3,50,
pH5,FSL R9-5517,0,2900,4.83E+04,0,cnt,3,50,
pH5,FSL R9-5271,0,2890,4.82E+04,0,cnt,3,50,
pH5,FSL R9-5516,0,2430,4.05E+04,0,cnt,3,50,
pH5,FSL R9-4077,0,2600,4.33E+04,0,cnt,3,50,
pH5,APC,0,20,3.33E+02,0,cnt,3,50,
pH5,MacConkey,0,0,0.00E+00,0,cnt,3,50,
pH5,FSL R9-5515,0,590,9.83E+03,1,cnt,3,100,
pH5,FSL R9-5258,0,3770,6.28E+04,1,cnt,3,50,
pH5,FSL R9-5517,0,2000,3.33E+04,1,cnt,3,50,
pH5,FSL R9-5271,0,7360,1.23E+05,1,cnt,3,50,
pH5,FSL R9-5516,0,3340,5.57E+04,1,cnt,3,50,
pH5,FSL R9-4077,0,3750,6.25E+04,1,cnt,3,50,
pH5,APC,0,959,1.60E+04,1,cnt,3,50,
pH5,MacConkey,0,0,0.00E+00,1,cnt,3,50,
pH5,FSL R9-5515,0,590,9.83E+03,3,cnt,3,50,
pH5,FSL R9-5258,0,760,1.27E+04,3,cnt,3,50,
pH5,FSL R9-5517,0,2610,4.35E+04,3,cnt,3,50,
pH5,FSL R9-5271,0,3270,5.45E+04,3,cnt,3,50,
pH5,FSL R9-5516,0,3640,6.07E+04,3,cnt,3,50,
pH5,FSL R9-4077,0,1080,1.80E+04,3,cnt,3,50,
pH5,APC,0,1090,1.82E+04,3,cnt,3,50,checked
pH5,MacConkey,0,0,0.00E+00,3,cnt,3,50,
pH5,FSL R9-5515,0,270,4.50E+03,4,cnt,3,50,
pH5,FSL R9-5258,1,5900,9.83E+04,4,cnt,3,50,
pH5,FSL R9-5517,0,1110,1.85E+04,4,cnt,3,50,
pH5,FSL R9-5271,1,1500,2.50E+04,4,cnt,3,50,
pH5,FSL R9-5516,1,5800,9.67E+04,4,cnt,3,50,
pH5,FSL R9-4077,1,1700,2.83E+04,4,cnt,3,50,
pH5,APC,1,22800,3.80E+05,4,cnt,3,50,
pH5,MacConkey,0,0,0.00E+00,4,cnt,3,50,checked
pH5,FSL R9-5515,0,30,5.00E+02,7,cnt,3,50,
pH5,FSL R9-5258,0,2770,4.62E+04,7,cnt,3,50,
pH5,FSL R9-5517,0,919,1.53E+04,7,cnt,3,50,
pH5,FSL R9-5271,0,950,1.58E+04,7,cnt,3,50,
pH5,FSL R9-5516,0,1600,2.67E+04,7,cnt,3,50,
pH5,FSL R9-4077,0,2260,3.77E+04,7,cnt,3,50,
pH5,APC,1,39200,6.53E+05,7,cnt,3,50,
pH5,MacConkey,0,0,0.00E+00,7,cnt,3,50,
Stationary,FSL R9-5515,6,1100000000,3.67E+05,Inoculum,cnt,1,50,
Stationary,FSL R9-5258,6,980000000,3.27E+05,Inoculum,cnt,1,50,
Stationary,FSL R9-5517,5,915000000,3.05E+05,Inoculum,cnt,1,50,
Stationary,FSL R9-5271,6,690000000,2.30E+05,Inoculum,cnt,1,50,
Stationary,FSL R9-5516,6,1040000000,3.47E+05,Inoculum,cnt,1,50,
Stationary,FSL R9-4077,6,1100000000,3.67E+05,Inoculum,cnt,1,50,
Stationary,FSL R9-5515,1,16800,2.80E+05,0,cnt,1,50,
Stationary,FSL R9-5258,1,6300,1.05E+05,0,cnt,1,50,
Stationary,FSL R9-5517,1,13300,2.22E+05,0,cnt,1,50,
Stationary,FSL R9-5271,1,5500,9.17E+04,0,cnt,1,50,
Stationary,FSL R9-5516,1,18000,3.00E+05,0,cnt,1,50,
Stationary,FSL R9-4077,0,7080,1.18E+05,0,cnt,1,50,
Stationary,APC,0,0,0.00E+00,0,no.growth,1,50,checked
Stationary,MacConkey,0,0,0.00E+00,0,cnt,1,50,
Stationary,FSL R9-5515,1,3600,6.00E+04,1,cnt,1,50,
Stationary,FSL R9-5258,0,5230,8.72E+04,1,cnt,1,50,
Stationary,FSL R9-5517,1,7500,1.25E+05,1,cnt,1,50,
Stationary,FSL R9-5271,0,4040,6.73E+04,1,cnt,1,50,
Stationary,FSL R9-5516,1,10900,1.82E+05,1,cnt,1,50,
Stationary,FSL R9-4077,0,8090,1.35E+05,1,cnt,1,50,
Stationary,APC,0,530,8.83E+03,1,cnt,1,50,
Stationary,MacConkey,0,0,0.00E+00,1,cnt,1,50,checked
Stationary,FSL R9-5515,0,6030,1.01E+05,3,cnt,1,50,
Stationary,FSL R9-5258,0,4200,7.00E+04,3,cnt,1,50,
Stationary,FSL R9-5517,1,2400,4.00E+04,3,cnt,1,50,
Stationary,FSL R9-5271,0,810,1.35E+04,3,cnt,1,50,
Stationary,FSL R9-5516,0,4310,7.18E+04,3,cnt,1,50,
Stationary,FSL R9-4077,0,1600,2.67E+04,3,cnt,1,50,
Stationary,APC,0,90,1.50E+03,3,cnt,1,50,
Stationary,MacConkey,0,0,0.00E+00,3,cnt,1,50,
Stationary,FSL R9-5515,0,2300,3.83E+04,4,cnt,1,50,
Stationary,FSL R9-5258,0,2730,4.55E+04,4,cnt,1,50,
Stationary,FSL R9-5517,0,2790,4.65E+04,4,cnt,1,50,
Stationary,FSL R9-5271,0,1060,1.77E+04,4,cnt,1,50,
Stationary,FSL R9-5516,0,5980,9.97E+04,4,cnt,1,50,
Stationary,FSL R9-4077,0,4235,7.06E+04,4,cnt,1,50,
Stationary,APC,0,150,2.50E+03,4,cnt,1,50,
Stationary,MacConkey,0,0,0.00E+00,4,cnt,1,50,
Stationary,FSL R9-5515,0,2860,4.77E+04,7,cnt,1,50,
Stationary,FSL R9-5258,0,1290,2.15E+04,7,cnt,1,50,
Stationary,FSL R9-5517,0,5740,9.57E+04,7,cnt,1,50,
Stationary,FSL R9-5271,0,348,5.80E+03,7,cnt,1,50,
Stationary,FSL R9-5516,0,13000,2.17E+05,7,cnt,1,50,
Stationary,FSL R9-4077,0,2430,4.05E+04,7,cnt,1,50,
Stationary,APC,0,532,8.87E+03,7,cnt,1,50,
Stationary,MacConkey,0,0,0.00E+00,7,cnt,1,50,
Stationary,FSL R9-5515,5,1250000000,4.17E+05,Inoculum,cnt,2,50,
Stationary,FSL R9-5258,5,994000000,3.31E+05,Inoculum,cnt,2,50,
Stationary,FSL R9-5517,5,957000000,3.19E+05,Inoculum,cnt,2,50,
Stationary,FSL R9-5271,5,595000000,1.98E+05,Inoculum,cnt,2,50,
Stationary,FSL R9-5516,5,1030000000,3.43E+05,Inoculum,cnt,2,50,
Stationary,FSL R9-4077,5,1210000000,4.03E+05,Inoculum,cnt,2,50,
Stationary,FSL R9-5515,1,6500,1.08E+05,0,cnt,2,50,
Stationary,FSL R9-5258,0,8550,1.43E+05,0,cnt,2,50,
Stationary,FSL R9-5517,1,7100,1.18E+05,0,cnt,2,50,
Stationary,FSL R9-5271,0,6350,1.06E+05,0,cnt,2,50,
Stationary,FSL R9-5516,1,7700,1.28E+05,0,cnt,2,50,
Stationary,FSL R9-4077,0,6870,1.15E+05,0,cnt,2,50,
