Strain,Condition,Day,Raw,CFU/mL,tnt/cnt/no_growth,Replicate,Dilution
FSL R9-5400,MidLog,7,2.12E+05,6.36E+06,cnt,2,1
FSL R9-5502,MidLog,7,4.82E+04,1.45E+06,cnt,2,1
FSL R9-5344,MidLog,7,2.41E+04,7.23E+05,cnt,2,1
FSL R9-6232,MidLog,7,1.14E+04,3.42E+05,cnt,2,1
APC,MidLog,0,3.06E+01,9.18E+02,cnt,2,0
APC,MidLog,1,2.88E+04,8.64E+05,cnt,2,1
APC,MidLog,3,5.00E+03,1.50E+05,cnt,2,1
APC,MidLog,4,4.46E+06,1.34E+08,cnt,2,2
APC,MidLog,7,1.11E+04,3.33E+05,cnt,2,1
FSL R9-5272,MidLog,Inoculum,1.43E+08,4.29E+07,cnt,3,5
FSL R9-5400,MidLog,Inoculum,1.84E+08,5.52E+07,cnt,3,5
FSL R9-5502,MidLog,Inoculum,2.00E+08,6.00E+07,cnt,3,5
FSL R9-5344,MidLog,Inoculum,1.84E+08,5.52E+07,cnt,3,5
FSL R9-6232,MidLog,Inoculum,1.75E+08,5.25E+07,cnt,3,5
FSL R9-5272,MidLog,0,4.19E+02,1.26E+04,cnt,3,0
FSL R9-5400,MidLog,0,1.13E+02,3.39E+03,cnt,3,0
FSL R9-5502,MidLog,0,1.74E+02,5.22E+03,cnt,3,0
FSL R9-5344,MidLog,0,4.81E+02,1.44E+04,cnt,3,0
FSL R9-6232,MidLog,0,1.34E+03,4.02E+04,cnt,3,0
FSL R9-5272,MidLog,1,8.79E+04,2.64E+06,cnt,3,0
FSL R9-5400,MidLog,1,2.50E+02,7.50E+03,cnt,3,0
FSL R9-5502,MidLog,1,1.49E+04,4.47E+05,cnt,3,0
FSL R9-5344,MidLog,1,1.04E+04,3.12E+05,cnt,3,0
FSL R9-6232,MidLog,1,1.98E+03,5.94E+04,cnt,3,0
FSL R9-5272,MidLog,3,1.87E+04,5.61E+05,cnt,3,1
FSL R9-5400,MidLog,3,1.07E+06,3.21E+07,cnt,3,1
FSL R9-5502,MidLog,3,,,tntc,3,1
FSL R9-5344,MidLog,3,,,tntc,3,1
FSL R9-6232,MidLog,3,1.78E+06,5.34E+07,cnt,3,1
FSL R9-5272,MidLog,4,2.35E+06,7.05E+07,cnt,3,2
FSL R9-5400,MidLog,4,6.03E+05,1.81E+07,cnt,3,2
FSL R9-5502,MidLog,4,4.27E+06,1.28E+08,cnt,3,2
FSL R9-5344,MidLog,4,1.75E+07,5.25E+08,cnt,3,3
FSL R9-6232,MidLog,4,9.20E+04,2.76E+06,cnt,3,2
FSL R9-5272,MidLog,7,1.45E+05,4.35E+06,cnt,3,1
FSL R9-5400,MidLog,7,,,tntc,3,1
FSL R9-5502,MidLog,7,1.50E+05,4.50E+06,cnt,3,1
FSL R9-5344,MidLog,7,1.74E+07,5.22E+08,cnt,3,3
FSL R9-6232,MidLog,7,,,tntc,3,1
APC,MidLog,0,6.13E+02,1.84E+04,cnt,3,1
APC,MidLog,1,1.84E+04,5.52E+05,cnt,3,1
APC,MidLog,3,1.88E+04,5.64E+05,cnt,3,1
APC,MidLog,4,1.45E+04,4.35E+05,cnt,3,1
APC,MidLog,7,9.09E+04,2.73E+06,cnt,3,2
FSL R9-5272,NaCl,Inoculum,5.17E+08,1.55E+08,cnt,1,4
FSL R9-5400,NaCl,Inoculum,7.04E+08,2.11E+08,cnt,1,5
FSL R9-5502,NaCl,Inoculum,1.01E+09,3.03E+08,cnt,1,5
FSL R9-5344,NaCl,Inoculum,5.71E+08,1.71E+08,cnt,1,5
FSL R9-6232,NaCl,Inoculum,7.16E+08,2.15E+08,cnt,1,5
FSL R9-5272,NaCl,0,3.68E+06,1.10E+08,cnt,1,4
FSL R9-5400,NaCl,0,2.97E+06,8.91E+07,cnt,1,3
FSL R9-5502,NaCl,0,3.68E+06,1.10E+08,cnt,1,3
FSL R9-5344,NaCl,0,4.43E+06,1.33E+08,cnt,1,2
FSL R9-6232,NaCl,0,2.46E+06,7.38E+07,cnt,1,4
FSL R9-5272,NaCl,1,2.15E+06,6.45E+07,cnt,1,3
FSL R9-5400,NaCl,1,1.51E+06,4.53E+07,cnt,1,3
FSL R9-5502,NaCl,1,1.38E+06,4.14E+07,cnt,1,3
FSL R9-5344,NaCl,1,3.03E+06,9.09E+07,cnt,1,2
FSL R9-6232,NaCl,1,2.80E+06,8.40E+07,cnt,1,3
FSL R9-5272,NaCl,3,2.35E+06,7.05E+07,cnt,1,3
FSL R9-5400,NaCl,3,1.92E+06,5.76E+07,cnt,1,3
FSL R9-5502,NaCl,3,2.58E+06,7.74E+07,cnt,1,3
FSL R9-5344,NaCl,3,2.19E+06,6.57E+07,cnt,1,3
FSL R9-6232,NaCl,3,1.11E+06,3.33E+07,cnt,1,3
FSL R9-5272,NaCl,4,3.92E+06,1.18E+08,cnt,1,2
FSL R9-5400,NaCl,4,8.65E+05,2.60E+07,cnt,1,2
FSL R9-5502,NaCl,4,1.83E+06,5.49E+07,cnt,1,2
FSL R9-5344,NaCl,4,2.20E+06,6.60E+07,cnt,1,2
FSL R9-6232,NaCl,4,4.89E+06,1.47E+08,cnt,1,2
FSL R9-5272,NaCl,7,3.42E+06,1.03E+08,cnt,1,2
FSL R9-5400,NaCl,7,6.63E+06,1.99E+08,cnt,1,2
FSL R9-5502,NaCl,7,4.71E+06,1.41E+08,cnt,1,2
FSL R9-5344,NaCl,7,7.50E+06,2.25E+08,cnt,1,2
FSL R9-6232,NaCl,7,,,tntc,1,2
APC,NaCl,0,1.35E+03,4.05E+04,cnt,1,0
APC,NaCl,1,5.42E+04,1.63E+06,cnt,1,2
APC,NaCl,3,1.51E+05,4.53E+06,cnt,1,2
APC,NaCl,4,1.58E+05,4.74E+06,cnt,1,1
APC,NaCl,7,2.04E+04,6.12E+05,cnt,1,1
FSL R9-5272,NaCl,Inoculum,9.39E+08,2.82E+08,cnt,2,6
FSL R9-5400,NaCl,Inoculum,1.48E+09,4.44E+08,cnt,2,6
FSL R9-5502,NaCl,Inoculum,1.61E+09,4.83E+08,cnt,2,6
FSL R9-5344,NaCl,Inoculum,8.00E+08,2.40E+08,cnt,2,6
FSL R9-6232,NaCl,Inoculum,1.68E+09,5.04E+08,cnt,2,6
FSL R9-5272,NaCl,0,4.05E+06,1.22E+08,cnt,2,3
FSL R9-5400,NaCl,0,2.83E+06,8.49E+07,cnt,2,3
FSL R9-5502,NaCl,0,2.09E+06,6.27E+07,cnt,2,3
FSL R9-5344,NaCl,0,1.41E+06,4.23E+07,cnt,2,3
FSL R9-6232,NaCl,0,7.40E+05,2.22E+07,cnt,2,3
FSL R9-5272,NaCl,1,1.26E+06,3.78E+07,cnt,2,3
FSL R9-5400,NaCl,1,7.87E+05,2.36E+07,cnt,2,3
FSL R9-5502,NaCl,1,1.22E+06,3.66E+07,cnt,2,3
FSL R9-5344,NaCl,1,1.21E+06,3.63E+07,cnt,2,3
FSL R9-6232,NaCl,1,1.55E+06,4.65E+07,cnt,2,3
FSL R9-5272,NaCl,3,1.58E+06,4.74E+07,cnt,2,3
FSL R9-5400,NaCl,3,1.23E+06,3.69E+07,cnt,2,3
FSL R9-5502,NaCl,3,5.22E+05,1.57E+07,cnt,2,3
FSL R9-5344,NaCl,3,8.93E+06,2.68E+08,cnt,2,3
FSL R9-6232,NaCl,3,2.83E+06,8.49E+07,cnt,2,3
FSL R9-5272,NaCl,4,1.20E+06,3.59E+07,cnt,2,3
FSL R9-5400,NaCl,4,8.59E+04,2.58E+06,cnt,2,3
FSL R9-5502,NaCl,4,1.11E+05,3.32E+06,cnt,2,2
FSL R9-5344,NaCl,4,8.59E+05,2.58E+07,cnt,2,3
FSL R9-6232,NaCl,4,1.83E+07,5.49E+08,cnt,2,4
FSL R9-5272,NaCl,7,3.07E+06,9.21E+07,cnt,2,3
FSL R9-5400,NaCl,7,1.23E+07,3.69E+08,cnt,2,3
FSL R9-5502,NaCl,7,3.70E+06,1.11E+08,cnt,2,3
FSL R9-5344,NaCl,7,2.59E+06,7.77E+07,cnt,2,3
FSL R9-6232,NaCl,7,4.97E+06,1.49E+08,cnt,2,4
APC,NaCl,0,2.04E+03,6.12E+04,cnt,2,0
APC,NaCl,1,1.92E+04,5.76E+05,cnt,2,1
APC,NaCl,3,1.81E+04,5.43E+05,cnt,2,1
APC,NaCl,4,1.66E+05,4.98E+06,cnt,2,1
APC,NaCl,7,1.65E+04,4.95E+05,cnt,2,1
FSL R9-5272,NaCl,Inoculum,1.51E+09,4.53E+08,cnt,3,6
FSL R9-5400,NaCl,Inoculum,7.15E+08,2.15E+08,cnt,3,6
FSL R9-5502,NaCl,Inoculum,7.56E+08,2.27E+08,cnt,3,6
FSL R9-5344,NaCl,Inoculum,3.07E+06,9.21E+05,cnt,3,6
FSL R9-6232,NaCl,Inoculum,1.17E+09,3.51E+08,cnt,3,6
FSL R9-5272,NaCl,0,3.26E+06,9.78E+07,cnt,3,3
FSL R9-5400,NaCl,0,3.85E+06,1.16E+08,cnt,3,3
FSL R9-5502,NaCl,0,3.81E+06,1.14E+08,cnt,3,3
FSL R9-5344,NaCl,0,3.33E+06,9.99E+07,cnt,3,3
FSL R9-6232,NaCl,0,5.53E+06,1.66E+08,cnt,3,3
FSL R9-5272,NaCl,1,8.78E+05,2.63E+07,cnt,3,3
FSL R9-5400,NaCl,1,1.66E+06,4.98E+07,cnt,3,3
FSL R9-5502,NaCl,1,1.28E+06,3.84E+07,cnt,3,3
FSL R9-5344,NaCl,1,1.89E+06,5.67E+07,cnt,3,3
FSL R9-6232,NaCl,1,1.81E+06,5.43E+07,cnt,3,3
FSL R9-5272,NaCl,3,5.07E+06,1.52E+08,cnt,3,3
FSL R9-5400,NaCl,3,2.71E+06,8.13E+07,cnt,3,3
FSL R9-5502,NaCl,3,2.81E+06,8.43E+07,cnt,3,3
FSL R9-5344,NaCl,3,3.63E+06,1.09E+08,cnt,3,3
FSL R9-6232,NaCl,3,2.77E+06,8.31E+07,cnt,3,3
FSL R9-5272,NaCl,4,7.74E+06,2.32E+08,cnt,3,3
FSL R9-5400,NaCl,4,1.66E+06,4.98E+07,cnt,3,3
FSL R9-5502,NaCl,4,1.41E+06,4.23E+07,cnt,3,3
FSL R9-5344,NaCl,4,3.39E+06,1.02E+08,cnt,3,3
FSL R9-6232,NaCl,4,4.29E+06,1.29E+08,cnt,3,3
FSL R9-5272,NaCl,7,1.22E+07,3.66E+08,cnt,3,2
FSL R9-5400,NaCl,7,3.13E+06,9.39E+07,cnt,3,3
FSL R9-5502,NaCl,7,1.30E+07,3.90E+08,cnt,3,3
FSL R9-5344,NaCl,7,4.29E+06,1.29E+08,cnt,3,3
FSL R9-6232,NaCl,7,3.33E+07,9.99E+08,cnt,3,4
APC,NaCl,0,1.71E+03,5.13E+04,cnt,3,0
APC,NaCl,1,1.68E+04,5.04E+05,cnt,3,1
APC,NaCl,3,1.69E+04,5.07E+05,cnt,3,1
APC,NaCl,4,4.90E+04,1.47E+06,cnt,3,1
APC,NaCl,7,1.07E+05,3.21E+06,cnt,3,2
FSL R9-5272,pH5,Inoculum,3.58E+08,1.07E+08,cnt,1,6
FSL R9-5400,pH5,Inoculum,2.56E+08,7.68E+07,cnt,1,6
FSL R9-5502,pH5,Inoculum,2.86E+08,8.58E+07,cnt,1,6
FSL R9-5344,pH5,Inoculum,2.87E+08,8.61E+07,cnt,1,6
FSL R9-6232,pH5,Inoculum,3.07E+08,9.21E+07,cnt,1,6
FSL R9-5272,pH5,0,1.11E+06,3.33E+07,cnt,1,3
FSL R9-5400,pH5,0,4.40E+05,1.32E+07,cnt,1,3
FSL R9-5502,pH5,0,1.05E+06,3.15E+07,cnt,1,3
FSL R9-5344,pH5,0,1.05E+06,3.15E+07,cnt,1,3
FSL R9-6232,pH5,0,1.11E+06,3.33E+07,cnt,1,3
FSL R9-5272,pH5,1,1.66E+04,4.98E+05,cnt,1,1
FSL R9-5400,pH5,1,1.66E+04,4.98E+05,cnt,1,1
FSL R9-5502,pH5,1,2.75E+04,8.25E+05,cnt,1,1
FSL R9-5344,pH5,1,2.18E+04,6.54E+05,cnt,1,1
FSL R9-6232,pH5,1,3.48E+03,1.04E+05,cnt,1,1
FSL R9-5272,pH5,3,3.80E+05,1.14E+07,cnt,1,2
FSL R9-5400,pH5,3,2.49E+06,7.47E+07,cnt,1,3
FSL R9-5502,pH5,3,1.62E+04,4.86E+05,cnt,1,1
FSL R9-5344,pH5,3,7.69E+04,2.31E+06,cnt,1,2
FSL R9-6232,pH5,3,1.07E+05,3.21E+06,cnt,1,2
FSL R9-5272,pH5,4,2.42E+05,7.26E+06,cnt,1,2
FSL R9-5400,pH5,4,1.95E+06,5.85E+07,cnt,1,2
FSL R9-5502,pH5,4,1.36E+05,4.08E+06,cnt,1,2
FSL R9-5344,pH5,4,1.17E+07,3.51E+08,cnt,1,2
FSL R9-6232,pH5,4,4.76E+05,1.43E+07,cnt,1,2
FSL R9-5272,pH5,7,3.16E+06,9.48E+07,cnt,1,2
FSL R9-5400,pH5,7,9.77E+05,2.93E+07,cnt,1,2
FSL R9-5502,pH5,7,2.74E+06,8.22E+07,cnt,1,2
FSL R9-5344,pH5,7,5.44E+06,1.63E+08,cnt,1,2
FSL R9-6232,pH5,7,,,tntc,1,2
APC,pH5,0,6.94E+03,2.08E+05,cnt,1,1
APC,pH5,1,2.13E+04,6.39E+05,cnt,1,1
APC,pH5,3,6.15E+04,6.15E+05,cnt,1,0
APC,pH5,4,2.03E+04,6.09E+05,cnt,1,1
APC,pH5,7,2.69E+04,8.07E+05,cnt,1,1
FSL R9-5272,pH5,Inoculum,5.62E+08,1.69E+08,cnt,2,6
FSL R9-5400,pH5,Inoculum,5.42E+08,1.63E+08,cnt,2,6
FSL R9-5502,pH5,Inoculum,4.60E+08,1.38E+08,cnt,2,6
FSL R9-5344,pH5,Inoculum,5.62E+08,1.69E+08,cnt,2,6
FSL R9-6232,pH5,Inoculum,5.62E+08,1.69E+08,cnt,2,6
FSL R9-5272,pH5,0,1.91E+06,5.73E+07,cnt,2,3
FSL R9-5400,pH5,0,1.24E+06,3.72E+07,cnt,2,3
FSL R9-5502,pH5,0,1.80E+06,5.40E+07,cnt,2,3
FSL R9-5344,pH5,0,2.00E+06,6.00E+07,cnt,2,3
FSL R9-6232,pH5,0,1.39E+06,4.17E+07,cnt,2,3
FSL R9-5272,pH5,1,1.32E+04,3.96E+05,cnt,2,1
FSL R9-5400,pH5,1,3.50E+03,1.05E+05,cnt,2,1
FSL R9-5502,pH5,1,5.45E+03,1.64E+05,cnt,2,1
FSL R9-5344,pH5,1,1.40E+04,4.20E+05,cnt,2,1
FSL R9-6232,pH5,1,3.15E+03,9.45E+04,cnt,2,1
FSL R9-5272,pH5,3,3.58E+03,1.07E+05,cnt,2,1
FSL R9-5400,pH5,3,2.03E+04,6.09E+05,cnt,2,1
FSL R9-5502,pH5,3,9.10E+04,2.73E+06,cnt,2,2
FSL R9-5344,pH5,3,2.05E+04,6.15E+05,cnt,2,1
FSL R9-6232,pH5,3,2.12E+04,6.36E+05,cnt,2,1
FSL R9-5272,pH5,4,7.17E+03,2.15E+05,cnt,2,2
FSL R9-5400,pH5,4,2.79E+05,8.37E+06,cnt,2,2
FSL R9-5502,pH5,4,5.68E+06,1.70E+08,cnt,2,2
FSL R9-5344,pH5,4,1.02E+03,3.06E+04,cnt,2,2
FSL R9-6232,pH5,4,5.01E+04,1.50E+06,cnt,2,2
FSL R9-5272,pH5,7,5.71E+06,1.71E+08,cnt,2,3
FSL R9-5400,pH5,7,7.97E+06,2.39E+08,cnt,2,3
FSL R9-5502,pH5,7,3.03E+06,9.09E+07,cnt,2,3
FSL R9-5344,pH5,7,5.46E+06,1.64E+08,cnt,2,3
FSL R9-6232,pH5,7,1.43E+04,4.29E+05,cnt,2,2
APC,pH5,0,4.70E+03,1.41E+05,cnt,2,1
APC,pH5,1,5.25E+04,1.58E+06,cnt,2,1
APC,pH5,3,1.73E+05,5.19E+06,cnt,2,2
APC,pH5,4,9.29E+04,2.79E+06,cnt,2,2
APC,pH5,7,6.75E+04,2.03E+06,cnt,2,2
FSL R9-5272,pH5,Inoculum,1.34E+09,4.02E+08,cnt,3,6
FSL R9-5400,pH5,Inoculum,5.73E+08,1.72E+08,cnt,3,6
FSL R9-5502,pH5,Inoculum,3.07E+08,9.21E+07,cnt,3,6
FSL R9-5344,pH5,Inoculum,3.68E+08,1.10E+08,cnt,3,6
FSL R9-6232,pH5,Inoculum,3.97E+08,1.19E+08,cnt,3,5
FSL R9-5272,pH5,0,1.05E+06,3.15E+07,cnt,3,1
FSL R9-5400,pH5,0,1.29E+06,3.87E+07,cnt,3,1
FSL R9-5502,pH5,0,7.26E+05,2.18E+07,cnt,3,3
FSL R9-5344,pH5,0,9.62E+05,2.89E+07,cnt,3,1
FSL R9-6232,pH5,0,6.26E+05,1.88E+07,cnt,3,1
FSL R9-5272,pH5,1,2.12E+04,6.36E+05,cnt,3,1
FSL R9-5400,pH5,1,8.28E+04,2.48E+06,cnt,3,1
FSL R9-5502,pH5,1,5.83E+03,1.75E+05,cnt,3,1
FSL R9-5344,pH5,1,5.62E+04,1.69E+06,cnt,3,2
FSL R9-6232,pH5,1,1.20E+04,3.60E+05,cnt,3,1
FSL R9-5272,pH5,3,1.58E+04,4.73E+05,cnt,3,1
FSL R9-5400,pH5,3,9.71E+03,2.91E+05,cnt,3,1
FSL R9-5502,pH5,3,4.51E+03,1.35E+05,cnt,3,2
FSL R9-5344,pH5,3,6.03E+04,1.81E+06,cnt,3,2
FSL R9-6232,pH5,3,3.06E+04,9.19E+05,cnt,3,2
FSL R9-5272,pH5,4,1.34E+05,4.02E+06,cnt,3,2
FSL R9-5400,pH5,4,2.04E+06,6.12E+07,cnt,3,2
FSL R9-5502,pH5,4,9.09E+02,2.73E+04,cnt,3,0
FSL R9-5344,pH5,4,1.37E+05,4.11E+06,cnt,3,2
FSL R9-6232,pH5,4,5.63E+03,1.69E+05,cnt,3,1
FSL R9-5272,pH5,7,1.48E+07,4.44E+08,cnt,3,3
FSL R9-5400,pH5,7,5.18E+06,1.55E+08,cnt,3,3
FSL R9-5502,pH5,7,2.76E+03,8.28E+04,cnt,3,3
FSL R9-5344,pH5,7,3.26E+06,9.78E+07,cnt,3,3
FSL R9-6232,pH5,7,1.46E+07,4.38E+08,cnt,3,2
APC,pH5,0,4.81E+02,1.44E+04,cnt,3,0
APC,pH5,1,5.11E+02,1.53E+04,cnt,3,1
APC,pH5,3,1.17E+05,3.51E+06,cnt,3,1
APC,pH5,4,8.48E+04,2.54E+06,cnt,3,2
APC,pH5,7,1.15E+05,3.45E+06,cnt,3,2
FSL R9-5272,Stationary,Inoculum,1.39E+09,4.17E+08,cnt,1,5
FSL R9-5400,Stationary,Inoculum,1.44E+09,4.32E+08,cnt,1,5
FSL R9-5502,Stationary,Inoculum,1.11E+09,3.33E+08,cnt,1,5
FSL R9-5344,Stationary,Inoculum,1.11E+09,3.33E+08,cnt,1,5
FSL R9-6232,Stationary,Inoculum,1.20E+09,3.60E+08,cnt,1,5
FSL R9-5272,Stationary,0,8.59E+05,2.58E+07,cnt,1,3
FSL R9-5400,Stationary,0,1.93E+06,5.79E+07,cnt,1,3
FSL R9-5502,Stationary,0,1.19E+06,3.57E+07,cnt,1,3
FSL R9-5344,Stationary,0,1.42E+06,4.26E+07,cnt,1,3
FSL R9-6232,Stationary,0,2.25E+06,6.75E+07,cnt,1,3
FSL R9-5272,Stationary,1,2.97E+03,8.91E+04,cnt,1,1
FSL R9-5400,Stationary,1,2.37E+04,7.11E+05,cnt,1,1
FSL R9-5502,Stationary,1,3.78E+03,1.13E+05,cnt,1,1
FSL R9-5344,Stationary,1,2.76E+03,8.28E+04,cnt,1,1
FSL R9-6232,Stationary,1,1.52E+04,4.56E+05,cnt,1,1
FSL R9-5272,Stationary,3,1.28E+04,3.84E+05,cnt,1,1
FSL R9-5400,Stationary,3,2.04E+02,6.12E+03,cnt,1,1
FSL R9-5502,Stationary,3,3.68E+03,1.10E+05,cnt,1,1
FSL R9-5344,Stationary,3,5.62E+03,1.69E+05,cnt,1,1
FSL R9-6232,Stationary,3,4.09E+03,1.23E+05,cnt,1,1
FSL R9-5272,Stationary,4,9.91E+03,2.97E+05,cnt,1,1
FSL R9-5400,Stationary,4,5.52E+03,1.66E+05,cnt,1,1
FSL R9-5502,Stationary,4,3.07E+02,9.21E+03,cnt,1,1
FSL R9-5344,Stationary,4,2.76E+03,8.28E+04,cnt,1,1
FSL R9-6232,Stationary,4,3.78E+05,1.13E+07,cnt,1,2
FSL R9-5272,Stationary,7,,,tntc,1,3
FSL R9-5400,Stationary,7,5.32E+03,1.60E+05,cnt,1,1
FSL R9-5502,Stationary,7,1.48E+05,4.44E+06,cnt,1,2
FSL R9-5344,Stationary,7,5.11E+03,1.53E+05,cnt,1,1
FSL R9-6232,Stationary,7,5.21E+03,1.56E+05,cnt,1,1
APC,Stationary,0,2.35E+02,7.05E+03,cnt,1,0
APC,Stationary,1,2.08E+04,6.24E+05,cnt,1,1
APC,Stationary,3,2.76E+05,8.28E+06,cnt,1,1
APC,Stationary,4,1.44E+05,4.32E+06,cnt,1,2
APC,Stationary,7,2.27E+05,6.81E+06,cnt,1,2
FSL R9-5272,Stationary,Inoculum,1.15E+09,3.45E+08,cnt,2,6
FSL R9-5400,Stationary,Inoculum,8.80E+08,2.64E+08,cnt,2,6
FSL R9-5502,Stationary,Inoculum,8.60E+08,2.58E+08,cnt,2,6
FSL R9-5344,Stationary,Inoculum,9.02E+08,2.71E+08,cnt,2,6
FSL R9-6232,Stationary,Inoculum,1.17E+09,3.51E+08,cnt,2,6
FSL R9-5272,Stationary,0,4.95E+05,1.49E+07,cnt,2,2
FSL R9-5400,Stationary,0,1.52E+06,4.56E+07,cnt,2,3
FSL R9-5502,Stationary,0,3.73E+05,1.12E+07,cnt,2,2
FSL R9-5344,Stationary,0,2.47E+05,7.41E+06,cnt,2,2
FSL R9-6232,Stationary,0,6.34E+04,1.90E+06,cnt,2,2
FSL R9-5272,Stationary,1,1.33E+04,3.99E+05,cnt,2,1
FSL R9-5400,Stationary,1,2.84E+04,8.52E+05,cnt,2,1
FSL R9-5502,Stationary,1,1.04E+04,3.12E+05,cnt,2,1
FSL R9-5344,Stationary,1,3.17E+05,9.51E+06,cnt,2,1
FSL R9-6232,Stationary,1,5.63E+02,1.69E+04,cnt,2,0
FSL R9-5272,Stationary,3,1.52E+06,4.56E+07,cnt,2,1
FSL R9-5400,Stationary,3,5.48E+04,1.64E+06,cnt,2,1
FSL R9-5502,Stationary,3,1.95E+04,5.85E+05,cnt,2,1
FSL R9-5344,Stationary,3,1.59E+05,4.77E+06,cnt,2,1
FSL R9-6232,Stationary,3,,,tntc,2,1
FSL R9-5272,Stationary,4,4.40E+04,1.32E+06,cnt,2,1
FSL R9-5400,Stationary,4,1.03E+04,3.09E+05,cnt,2,1
FSL R9-5502,Stationary,4,2.36E+04,7.08E+05,cnt,2,1
FSL R9-5344,Stationary,4,1.04E+06,3.12E+07,cnt,2,2
FSL R9-6232,Stationary,4,1.17E+06,3.51E+07,cnt,2,2
FSL R9-5272,Stationary,7,1.66E+05,4.98E+06,cnt,2,2
FSL R9-5400,Stationary,7,8.52E+06,2.56E+08,cnt,2,2
FSL R9-5502,Stationary,7,1.30E+07,3.90E+08,cnt,2,2
FSL R9-5344,Stationary,7,2.83E+07,8.49E+08,cnt,2,3
FSL R9-6232,Stationary,7,3.15E+06,9.45E+07,cnt,2,3
APC,Stationary,0,2.05E+02,6.15E+03,cnt,2,0
APC,Stationary,1,2.35E+02,7.05E+03,cnt,2,0
APC,Stationary,3,3.99E+02,1.20E+04,cnt,2,0
APC,Stationary,4,5.52E+02,1.66E+04,cnt,2,0
APC,Stationary,7,9.92E+03,2.98E+05,cnt,2,1
FSL R9-5272,Stationary,Inoculum,9.70E+08,2.91E+08,cnt,3,6
FSL R9-5400,Stationary,Inoculum,9.79E+08,2.94E+08,cnt,3,6
FSL R9-5502,Stationary,Inoculum,1.42E+09,4.26E+08,cnt,3,6
FSL R9-5344,Stationary,Inoculum,8.77E+08,2.63E+08,cnt,3,6
FSL R9-6232,Stationary,Inoculum,8.79E+08,2.64E+08,cnt,3,6
FSL R9-5272,Stationary,0,1.24E+06,3.72E+07,cnt,3,3
FSL R9-5400,Stationary,0,1.64E+06,4.92E+07,cnt,3,3
FSL R9-5502,Stationary,0,1.73E+06,5.19E+07,cnt,3,3
FSL R9-5344,Stationary,0,1.25E+06,3.75E+07,cnt,3,3
FSL R9-6232,Stationary,0,1.12E+06,3.36E+07,cnt,3,3
FSL R9-5272,Stationary,1,9.40E+03,2.82E+05,cnt,3,1
FSL R9-5400,Stationary,1,1.93E+03,5.79E+04,cnt,3,0
FSL R9-5502,Stationary,1,8.18E+03,2.45E+05,cnt,3,1
FSL R9-5344,Stationary,1,2.34E+03,7.02E+04,cnt,3,0
FSL R9-6232,Stationary,1,6.64E+03,1.99E+05,cnt,3,1
FSL R9-5272,Stationary,3,2.50E+05,7.50E+06,cnt,3,2
FSL R9-5400,Stationary,3,1.81E+04,5.43E+05,cnt,3,1
FSL R9-5502,Stationary,3,2.23E+04,6.69E+05,cnt,3,1
FSL R9-5344,Stationary,3,6.95E+04,2.09E+06,cnt,3,2
FSL R9-6232,Stationary,3,7.77E+03,2.33E+05,cnt,3,1
FSL R9-5272,Stationary,4,2.79E+06,8.37E+07,cnt,3,2
FSL R9-5400,Stationary,4,2.21E+06,6.63E+07,cnt,3,2
FSL R9-5502,Stationary,4,9.04E+04,2.71E+06,cnt,3,2
FSL R9-5344,Stationary,4,5.31E+06,1.59E+08,cnt,3,2
FSL R9-6232,Stationary,4,9.15E+06,2.75E+08,cnt,3,2
FSL R9-5272,Stationary,7,1.18E+07,3.54E+08,cnt,3,2
FSL R9-5400,Stationary,7,7.20E+05,2.16E+07,cnt,3,3
FSL R9-5502,Stationary,7,3.17E+06,9.51E+07,cnt,3,2
FSL R9-5344,Stationary,7,1.33E+07,3.99E+08,cnt,3,3
FSL R9-6232,Stationary,7,6.60E+06,1.98E+08,cnt,3,4
APC,Stationary,0,6.24E+02,1.87E+04,cnt,3,0
APC,Stationary,1,2.33E+04,6.99E+05,cnt,3,1
APC,Stationary,3,3.22E+04,9.66E+05,cnt,3,1
APC,Stationary,4,2.08E+04,6.24E+05,cnt,3,1
APC,Stationary,7,3.15E+04,9.45E+05,cnt,3,1
