Strain,Condition,Day,Raw,CFU/mL,tnt/cnt/no_growth,Replicate,Dilution
FSL R9-5344,21C,Inoculum,9.80E+08,2.94E+08,cnt,3,6
FSL R9-6232,21C,Inoculum,5.62E+08,1.69E+08,cnt,3,6
FSL R9-5272,21C,0,2.24E+05,6.72E+06,cnt,3,2
FSL R9-5400,21C,0,6.64E+04,1.99E+06,cnt,3,2
FSL R9-5502,21C,0,9.94E+04,1.12E+07,cnt,3,2
FSL R9-5344,21C,0,3.17E+04,9.51E+05,cnt,3,2
FSL R9-6232,21C,0,2.04E+03,6.12E+04,cnt,3,2
FSL R9-5272,21C,1,1.36E+03,4.08E+04,cnt,3,0
FSL R9-5400,21C,1,1.02E+02,3.06E+03,cnt,3,0
FSL R9-5502,21C,1,2.04E+01,6.12E+02,cnt,3,0
FSL R9-5344,21C,1,2.56E+02,7.68E+03,cnt,3,0
FSL R9-6232,21C,1,1.02E+01,3.06E+02,cnt,3,0
FSL R9-5272,21C,3,1.04E+04,3.12E+05,cnt,3,1
FSL R9-5400,21C,3,8.10E+03,2.43E+05,cnt,3,1
FSL R9-5502,21C,3,9.60E+02,2.88E+04,cnt,3,0
FSL R9-5344,21C,3,2.60E+02,7.80E+03,cnt,3,0
FSL R9-6232,21C,3,1.32E+06,3.96E+07,cnt,3,1
FSL R9-5272,21C,4,1.64E+06,4.92E+07,cnt,3,1
FSL R9-5400,21C,4,7.30E+04,2.94E+06,cnt,3,1
FSL R9-5502,21C,4,1.70E+02,6.00E+03,cnt,3,1
FSL R9-5344,21C,4,2.35E+05,7.05E+06,cnt,3,1
FSL R9-6232,21C,4,1.00E+01,3.00E+02,cnt,3,0
FSL R9-5272,21C,7,3.04E+06,9.13E+07,cnt,3,2
FSL R9-5400,21C,7,1.08E+06,3.24E+07,cnt,3,2
FSL R9-5502,21C,7,6.52E+06,1.96E+08,cnt,3,2
FSL R9-5344,21C,7,2.03E+05,6.09E+06,cnt,3,2
FSL R9-6232,21C,7,2.81E+05,8.43E+06,cnt,3,2
FSL R9-5272,Glyc,Inoculum,1.30E+09,3.90E+08,cnt,1,6
FSL R9-5400,Glyc,Inoculum,1.32E+09,3.96E+08,cnt,1,6
FSL R9-5502,Glyc,Inoculum,8.59E+08,2.58E+08,cnt,1,6
FSL R9-5344,Glyc,Inoculum,1.14E+09,3.42E+08,cnt,1,6
FSL R9-6232,Glyc,Inoculum,8.49E+08,2.55E+08,cnt,1,6
FSL R9-5272,Glyc,0,4.59E+06,1.38E+08,cnt,1,2
FSL R9-5400,Glyc,0,9.61E+04,2.88E+06,cnt,1,2
FSL R9-5502,Glyc,0,1.90E+05,5.70E+06,cnt,1,2
FSL R9-5344,Glyc,0,1.82E+05,5.46E+06,cnt,1,2
FSL R9-6232,Glyc,0,5.62E+05,1.69E+07,cnt,1,2
FSL R9-5272,Glyc,1,3.29E+05,9.87E+06,cnt,1,2
FSL R9-5400,Glyc,1,1.02E+02,3.06E+03,cnt,1,1
FSL R9-5502,Glyc,1,5.11E+02,1.53E+04,cnt,1,1
FSL R9-5344,Glyc,1,1.12E+03,3.36E+04,cnt,1,1
FSL R9-6232,Glyc,1,5.11E+02,1.53E+04,cnt,1,1
FSL R9-5272,Glyc,3,6.80E+06,2.04E+08,cnt,1,3
FSL R9-5400,Glyc,3,5.83E+04,1.75E+06,cnt,1,3
FSL R9-5502,Glyc,3,2.48E+06,7.44E+07,cnt,1,3
FSL R9-5344,Glyc,3,8.17E+03,2.45E+05,cnt,1,2
FSL R9-6232,Glyc,3,0.00E+00,,no_growth,1,2
FSL R9-5272,Glyc,4,1.59E+05,4.77E+06,cnt,1,2
